j,t,i,v,q
32,2022,36,354268.987,1008685.2
40,2022,36,103229.259,323488.119
48,2022,36,15.326,1.354
50,2022,36,62074.843,455073.0
51,2022,36,0.54,0.031
56,2022,36,381277.234,1193112.2580000001
70,2022,36,4874.293,26858.0
72,2022,36,0.899,0.001
76,2022,36,2128044.255,6198420.470000001
90,2022,36,1128.509,255.571
96,2022,36,17154.29,31116.316
100,2022,36,0.119,0.06
104,2022,36,729.679,1012.32
116,2022,36,66242.198,469577.789
124,2022,36,385.77099999999996,81.576
144,2022,36,181.27100000000002,165.37
152,2022,36,557533.0950000001,2300542.211
156,2022,36,15049302.675,27169630.895999998
162,2022,36,24683.454,25633.446
166,2022,36,250.469,211.45999999999998
170,2022,36,512.467,229.052
188,2022,36,1.367,0.008
203,2022,36,77756.214,257565.375
208,2022,36,27716.725,132619.463
222,2022,36,0.853,0.004
233,2022,36,0.371,0.011
242,2022,36,29582.663,32066.993999999995
246,2022,36,220766.406,584547.168
251,2022,36,1082024.9510000001,2802094.437
258,2022,36,198.525,137.012
262,2022,36,15.227,0.45
268,2022,36,12.209,1.7
276,2022,36,1386438.263,5060322.578999999
288,2022,36,28.941,2.161
296,2022,36,122.603,42.488
300,2022,36,111.07400000000001,129.662
320,2022,36,0.226,0.017
324,2022,36,25.431,3.122
344,2022,36,66486.33499999999,225303.32200000001
348,2022,36,113.682,638.352
360,2022,36,2129205.476,6544761.1
372,2022,36,51650.452,138014.15
376,2022,36,5.444999999999999,0.499
380,2022,36,491143.609,1115190.318
384,2022,36,43.589,0.422
392,2022,36,58477317.396,154703428.674
398,2022,36,18.302,3.822
404,2022,36,5467.814,7706.2
410,2022,36,24654849.073,60510393.012
414,2022,36,0.634,0.352
417,2022,36,0.749,0.014
418,2022,36,42.726,13.0
440,2022,36,8.732,0.043
450,2022,36,3.963,0.008
458,2022,36,4145151.7199999997,12771667.597
462,2022,36,0.5449999999999999,0.5750000000000001
466,2022,36,43.356,2.181
470,2022,36,0.049,0.002
480,2022,36,7.23,1.6569999999999998
484,2022,36,8061.713,39164.332
490,2022,36,9559840.153,33069214.771
496,2022,36,36.296,2.481
504,2022,36,34361.965,114500.0
508,2022,36,18949.005,87998.02
512,2022,36,242.623,414.276
516,2022,36,0.109,0.001
520,2022,36,204.918,69.682
524,2022,36,34162.907,233139.554
528,2022,36,2139036.917,7471910.15
540,2022,36,377619.285,1015324.391
548,2022,36,1059.8639999999998,621.5
554,2022,36,96088.597,153691.802
558,2022,36,0.076,0.002
566,2022,36,2.151,0.002
574,2022,36,88.001,79.37
579,2022,36,159.269,9.685
584,2022,36,107.813,56.184
586,2022,36,20594.912,132131.429
591,2022,36,0.123,0.117
598,2022,36,15695.019,4449.928
604,2022,36,13.994000000000002,1.133
608,2022,36,75592.566,409635.727
616,2022,36,1176752.845,4003327.257
620,2022,36,353.951,173.796
626,2022,36,27758.009,83231.028
642,2022,36,9.436,0.197
643,2022,36,54.527,21.24
682,2022,36,26282.909,49806.308
686,2022,36,10774.430999999999,39340.065
688,2022,36,0.084,0.003
699,2022,36,18417147.73,67022125.773
702,2022,36,3683922.039,7276869.254
703,2022,36,4.519,1.032
704,2022,36,4618772.917,20791980.7
705,2022,36,87044.433,243491.595
710,2022,36,218862.77699999997,628246.588
724,2022,36,468514.485,1456488.163
729,2022,36,82.197,15.2
752,2022,36,401230.579,1169016.921
757,2022,36,3844.7369999999996,8676.035
764,2022,36,3377430.596,9124234.307
776,2022,36,65.18,26.321
780,2022,36,0.015,0.005
784,2022,36,100929.917,402175.243
792,2022,36,921101.697,3077473.148
818,2022,36,295.552,88.396
826,2022,36,300993.941,988699.93
834,2022,36,4.032,0.391
842,2022,36,91275.548,110250.617
858,2022,36,61349.737,206322.0
882,2022,36,688.116,296.32500000000005
894,2022,36,45.772,17.779
