Fuel;1989-90;1990-91;1991-92;1992-93;1993-94;1994-95;1995-96;1996-97;1997-98;1998-99;1999-00;2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22
  Black coal;87,573.0;89,511.0;94,325.1;97,872.7;100,544.1;102,522.1;106,089.6;109,452.2;116,969.5;118,586.3;123,833.5;134,264.0;116,774.7;115,296.6;121,182.3;127,788.5;130,231.6;132,368.5;129,569.3;127,270.5;123,724.5;116,948.8;116,654.4;111,491.1;106,965.5;107,639.4;114,263.0;118,236.0;121,689.3;119,809.5;111,860.8;106,251.4;101,076.2
  Brown coal;33,594.0;36,048.0;34,559.0;33,248.0;34,890.0;35,832.0;39,427.0;41,893.0;46,633.0;49,703.0;50,200.0;52,223.0;56,493.0;55,160.3;55,572.8;53,377.8;54,552.8;54,375.8;54,658.7;56,981.4;56,068.3;55,298.1;55,067.7;47,555.1;46,076.2;50,970.4;48,827.8;43,594.1;36,021.4;34,495.2;33,661.6;34,060.0;32,515.6
  Natural gas;14,359.0;10,772.0;11,633.0;12,295.0;12,199.0;14,913.0;12,445.0;11,426.0;12,934.0;16,001.0;16,245.0;17,271.0;31,730.0;29,375.3;30,919.4;23,802.9;22,725.9;31,849.9;34,955.8;37,660.4;44,585.4;48,996.2;48,571.6;51,053.4;54,393.9;52,916.9;50,536.1;50,459.8;53,881.7;52,775.4;55,216.3;49,782.9;49,280.2
  Oil products;3,552.0;3,396.0;2,362.0;2,421.0;2,320.0;2,738.0;2,805.0;2,175.0;1,821.0;1,729.0;1,784.0;2,044.0;2,446.0;1,661.0;1,388.7;2,841.0;3,058.0;2,893.0;4,058.0;3,388.0;3,106.8;3,093.8;2,702.5;4,464.3;5,012.3;6,828.5;5,655.6;5,272.6;4,820.9;4,922.9;4,509.2;4,661.9;4,664.0
  Bagasse, wood;750.0;769.0;670.0;670.0;670.0;670.0;670.0;670.0;670.0;674.0;685.0;633.0;669.0;826.6;1,058.2;3,237.0;3,268.0;3,316.0;3,737.0;1,763.4;1,761.8;1,077.0;1,606.3;1,714.3;2,053.5;2,353.4;2,493.4;2,251.6;2,258.9;2,152.2;1,989.8;1,992.2;1,817.5
  Biogas;;;;;;53.0;258.0;295.0;359.0;459.0;449.0;12.0;281.0;757.0;741.3;593.0;643.0;637.0;859.0;1,031.8;1,015.6;1,024.7;1,437.4;1,429.2;1,445.9;1,238.9;1,296.5;1,249.0;1,258.8;1,343.6;1,361.9;1,354.0;1,372.8
  Wind;;;;;4.0;7.0;7.0;7.0;8.0;28.0;58.0;210.0;364.0;703.1;705.0;885.0;1,713.1;2,611.1;3,093.1;3,823.8;5,051.7;6,084.9;6,969.7;7,959.6;10,251.9;11,466.5;12,199.5;12,597.0;15,174.4;17,712.0;20,395.9;24,535.4;29,107.8
  Hydro;14,880.0;16,103.0;15,768.0;16,953.0;16,649.0;16,239.0;15,731.0;16,852.0;15,733.0;16,563.0;16,720.0;16,933.0;16,054.0;16,490.0;16,331.1;15,612.2;16,029.2;14,517.0;12,056.9;11,869.4;13,548.7;16,806.7;14,083.3;18,269.6;18,420.9;13,445.0;15,318.2;16,284.9;16,020.8;15,967.3;15,149.6;15,199.7;17,010.9
  Large-scale solar PV;;;;;;;;;;;;;;;;;;;;;;;;;49.7;107.2;457.2;672.4;1,007.6;3,732.4;7,136.1;9,637.9;12,569.2
  Small-scale solar PV;;;10.9;13.3;15.9;18.9;23.4;27.8;33.5;37.7;43.5;50.0;58.3;58.3;68.1;77.8;90.3;104.7;122.8;155.6;424.9;1,530.4;2,558.7;3,826.3;4,366.3;5,424.1;6,381.0;7,399.3;8,922.4;11,116.2;13,897.1;18,079.1;22,117.5
